spotifyid,link,genre,notes
5YcIZjtsqMJyKOb0Srqdf8,https://p.scdn.co/mp3-preview/18c1020b200a148c9c472e33855d23db47967fbe,Country / Folk,
3FSVQA1RQ6SVaEWTT3hBTd,https://p.scdn.co/mp3-preview/261d7da663e2537de4bc54e7111e7f743b651326,Classical,
0z1CukSFfISQhCQguD4cQI,https://p.scdn.co/mp3-preview/1f968f65ee3ef5b90959e515bd73c04152ee5dfd,Rock / Pop,
0FBTjlr8hFgNd4hT1BkyyV,https://p.scdn.co/mp3-preview/7c37fca6888bf33f9fe87fc4e92d7f21f3ac2d83,Other,
5GeDynV6EFbQ2LBlnToQDt,https://p.scdn.co/mp3-preview/288660e50989c33e20cff03dc539de575e9d1109,Other,
5WOohKWwi9he8vDtzB9kKQ,https://p.scdn.co/mp3-preview/30660eddbf88150ba2f37593ded913cc4e9a545d,Rock / Pop,
2T8qCsWbb0KTo3LGHIYG41,https://p.scdn.co/mp3-preview/f00170721a402ab41ec2c2b7f54b9aaf0af5e916,Soul / Funk / Disco,
0tkdIe00XRTXPgBaIJAJTK,https://p.scdn.co/mp3-preview/ad9a27b3729995d4bbb6412711fdea5f22d990c0,Soul / Funk / Disco,
2DjJrZksXcZPtzdov62qwl,https://p.scdn.co/mp3-preview/f73b2593c4944210c48b8c9bb9b3f5bce85f7b6a,Instrumental,
3xqYWNldG89NEZnNIonZqV,https://p.scdn.co/mp3-preview/549f3d4962862c2916e5a4f18db46ad2dd06c58d,Classical,
3Pp7QwieYBOvbUBVUSsL2j,https://p.scdn.co/mp3-preview/3a56cfee701aa8f4f221c72fd0cc2160909a5923,Rock / Pop,
0ll6ISX9xbTWTtDUOHqJGG,https://p.scdn.co/mp3-preview/5bf1d3bb6e74854655065d042de5549af0e2454e,Soul / Funk / Disco,
0QAG1lGD9uHgkGAepuPiEh,https://p.scdn.co/mp3-preview/2c7964666a579c6e5a4101205b5e64dff3e66a5e,Rock / Pop,
4qNlOROAi5Wz1VRglRJkBw,https://p.scdn.co/mp3-preview/66a9402a504cbb96d5f507f3c98a808b66bf2651,Jazz / Blues,
6J6t20RcVb0wBwrF7i7VsA,https://p.scdn.co/mp3-preview/2c74cf092c3e805c51dea69d0c6eea1fcf2516c6,Rock / Pop,
6jFpmmNQL6SfuSQHi4dgai,https://p.scdn.co/mp3-preview/43f4d4f117528d98faef33403b074f19cdc92a14,Rock / Pop,
12uZkCP24eBfruBsN6CdV0,https://p.scdn.co/mp3-preview/df6f8bc05e008f6f07a84dfc7cc999276a0476be,Classical,
2fDzQcZjbxXaOHQzs7Xkgu,https://p.scdn.co/mp3-preview/5f7ed2bdf8fa16a7b3e9f0923f2ede947fb78f28,Country / Folk,
2x9qjXEUl3wneXcdJfSYAY,https://p.scdn.co/mp3-preview/50643584cd62b87f33ec2823e00b11f29b4aa467,Instrumental,
2EYocopgaVI0nvaS8pAXtR,https://p.scdn.co/mp3-preview/8a078fb99283841c89f4d853a7c239a4b228bb59,Country / Folk,
4NjA6YOc1X2bzPv8312V5V,https://p.scdn.co/mp3-preview/4306196803c4dfa550e8b9974f4e4408a8bcf557,Electronic / Dance,
33LqXBuY6jE9Ali9rlD1ZI,https://p.scdn.co/mp3-preview/3ef69dc03d099cfee244827353dc452e347d4fc9,Reggae,
6SntTyYxX8LiDlYp070fsi,https://p.scdn.co/mp3-preview/490fc729f3f3aa33bd537bb5d6eb0ca0903a6162,Reggae,
511adepca5yWS2S79sC5ja,https://p.scdn.co/mp3-preview/a4bde3176b6111d9661793c48c2e199754be3d77,Rock / Pop,
4YAIyEjyPLTyhlTRcLJ8tQ,https://p.scdn.co/mp3-preview/08798672be0e9abdb79d7b9a36dce66d44b897d7,Country / Folk,
7uR53WX07qkgvuVo7cytPd,https://p.scdn.co/mp3-preview/e50a0517a0db31115a21d916700db5a15fbc1ee5,Rock / Pop,
4QSfZYmg9HPTUrzVHHn6jG,https://p.scdn.co/mp3-preview/3ce027c8e339fe213605af5f0b63caf8db5f5fa4,Rock / Pop,
3YFMrA2CT1YBwXBwMHVdYy,https://p.scdn.co/mp3-preview/5e12812415dbf668ad973886e6f588335c816116,Country / Folk,
5H7DfXw53z20MGRm4FDwKh,https://p.scdn.co/mp3-preview/fa73fdf1832ca48d2cf1aa87b493135213e3623d,Rock / Pop,
2Exc9pTDySF1Qn8blmMVci,https://p.scdn.co/mp3-preview/3cf9aceded1a0f4d747d4da3f47dcac964f530ca,Rock / Pop,
6lwF4rxPX9lllb4tuDiQik,https://p.scdn.co/mp3-preview/25aa3737d6b6a375ef5b7098df06d7727cac63f0,Soul / Funk / Disco,
1F7S7LFt8lVovxpU4ybg11,https://p.scdn.co/mp3-preview/4eff808e93d6507a0a1ed74fd4d2225fcf23814c,Rock / Pop,
0oYkCOKn81WgtboFU1v9KO,https://p.scdn.co/mp3-preview/10f498570d117c944cf267fe8bdce60c354ee880,Rock / Pop,
6NEwXjjGXAPXVVqYboXjTt,https://p.scdn.co/mp3-preview/61cbd4f0b4c8c21e9ce3760f687ae81c63c46069,Jazz / Blues,
0nbZxruH5f0vIfzkAuOnYe,https://p.scdn.co/mp3-preview/23528dc0e4496c0df4e7776bcb18a70aed13c577,Rock / Pop,
20c2cnuC6AJmCtmFRhKZED,https://p.scdn.co/mp3-preview/caa6ae3bba49f50e0cc4b29faed014fc4a6753a8,Rock / Pop,
6jG3Tm7NUzuVh9gekXrx3R,https://p.scdn.co/mp3-preview/6ef9826141286318a743c1711ed87415fcbb4ab1,Instrumental,
296ZEns4rqyMXvEK3iVvGk,https://p.scdn.co/mp3-preview/048194e764e4e7250a66ffc7f36a4c975ba8db5e,Instrumental,
2PXrxTvY6lTvj9minqKvH9,https://p.scdn.co/mp3-preview/71904a18b71e4245585590ce82b1d32284f32351,Jazz / Blues,
0CwV9aJDea78yRbMlLOcra,https://p.scdn.co/mp3-preview/a9229fbe4eef229126ab79d77f2d688941bd1911,Rock / Pop,
2XA5AiqoE2vScsWabu1yQw,https://p.scdn.co/mp3-preview/0d6a4dea227f08904abd15d7e0b18ce6f85e02a1,Jazz / Blues,
69PtS1YEQjaVhpPQHqwqDv,https://p.scdn.co/mp3-preview/e38536905dcceec40f08c579288b8347ccd62a6f,Rock / Pop,
6UVTdEOpGm12VNqXB6lCmM,https://p.scdn.co/mp3-preview/8334183f73efc55ec520e7243e36259bdb475e9b,Jazz / Blues,
64KDDyYzHNeRohROdiUnq5,https://p.scdn.co/mp3-preview/a246410e45af0cb07c5a8be023815b6216b4cf57,Soul / Funk / Disco,
64KDDyYzHNeRohROdiUnq5,https://p.scdn.co/mp3-preview/a246410e45af0cb07c5a8be023815b6216b4cf57,Soul / Funk / Disco,
1XwNtIhWLkcWbuH31AHp7P,https://p.scdn.co/mp3-preview/0d4848f9be2f266194735b105673a3db05c01d10,Rock / Pop,
4E0Qbp3y2V6SlG5vL5jrYS,https://p.scdn.co/mp3-preview/43bf32ff7decf1b4cc1a951bf99c26c7cf55b79e,Rock / Pop,
7trNasITdq7DVmZsZGDOmz,https://p.scdn.co/mp3-preview/dff869403c618670755c979035cc223055000177,Soul / Funk / Disco,
72PJ8muykKVddHs03N8Bu6,https://p.scdn.co/mp3-preview/8436d717304af4b371cf31d425ae5f9bc169f999,Rock / Pop,
0drcwUSRwkPj8g9QuqftJm,https://p.scdn.co/mp3-preview/d7f6f236cbc2118a5c26f48d86a432d0efe9145f,Soul / Funk / Disco,
7er6pseB1UFSds0D0Wyxcn,https://p.scdn.co/mp3-preview/4ac0d181b9280f434705787b52ae459beb71fc45,Jazz / Blues,
68ew3UMkTTFTiD6JWD26kh,https://p.scdn.co/mp3-preview/056cccfc19b66814d220c310e5d21a81af8ec541,Soul / Funk / Disco,
2Onp9TbrGYXitFMTJ3xq5k,https://p.scdn.co/mp3-preview/81558a7dead04d44fc36e56159720d04c1526295,Soul / Funk / Disco,
6JiLKJLapvAzZRp8Hk86Pt,https://p.scdn.co/mp3-preview/b90586f06b81560991d049fee029ffb2c9e698f5,Rock / Pop,
22jKbGALkJZRun2HKznvj2,https://p.scdn.co/mp3-preview/f9b9bd4f64939ad461fe061b0f5e721b9cb34ccd,Country / Folk,
4FQ0NozScNLsgLEgfobTOr,https://p.scdn.co/mp3-preview/a35612b017f091062b4ad2ad139ece7ccc2e9d0f,Classical,
0WFdDSPCKsRhUYQn14IS8W,https://p.scdn.co/mp3-preview/c161a36bd61a095c69a3571e9f31ed5c26b7ad96,Jazz / Blues,
7aQMo9PHnhzLNLcM2nFilS,https://p.scdn.co/mp3-preview/de09730b00d338348575566617d1ba0bc17e3dc1,Rock / Pop,
1yhXaWznsueJYBsu4hSyVF,https://p.scdn.co/mp3-preview/a1873c5d0b07b477aa3965dd09412123eb814e5e,Soul / Funk / Disco,
6rtMTvBx56uVMJx1c7SpFT,https://p.scdn.co/mp3-preview/dcb9771d63f89d80936e9628e2fdba3f148e80e2,Country / Folk,
